City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,at taj,24.2049,23.2857,27.51,11,0,4.84,LY,1713915225
270,matoury,4.8483,-52.3317,27.98,78,40,3.6,GF,1713915108
271,puerto madero,14.7208,-92.4215,33.11,58,40,4.12,MX,1713915226
272,soio,-6.1349,12.3689,25.61,90,100,1.23,AO,1713915226
273,yenicaga,40.7711,32.0337,17.2,40,98,2.41,TR,1713915228
274,xai-xai,-25.0519,33.6442,23.14,93,30,2.49,MZ,1713915228
275,retreat,38.8245,-85.8533,17.19,71,100,6.53,US,1713915230
276,kwali,8.8672,7.005,30.94,56,54,2.1,NG,1713915230
277,newman,37.3138,-121.0208,22.94,49,2,4.02,US,1713915023
278,miquelon,47.0975,-56.3814,1.0,72,79,3.82,PM,1713915234
279,rajula,21.05,71.4333,27.06,51,0,3.55,IN,1713915235
280,antofagasta,-23.65,-70.4,17.6,88,38,3.44,CL,1713915235
281,luderitz,-26.6481,15.1594,16.17,82,4,4.56,NA,1713915236
282,callao,-12.0667,-77.15,22.16,78,0,6.17,PE,1713915079
283,portland,45.5234,-122.6762,24.93,25,40,2.57,US,1713914957
284,glace bay,46.1969,-59.957,3.51,65,75,4.12,CA,1713915239
285,longboat key,27.4125,-82.659,26.0,60,0,6.17,US,1713915080
286,kirakira,-10.4544,161.9205,30.57,69,63,2.44,SB,1713915246
287,al artawiyah,26.5053,45.3444,22.16,25,8,4.21,SA,1713915249
288,raahe,64.6833,24.4833,1.05,94,97,4.49,FI,1713915253
289,nowy sacz,49.6218,20.6971,3.95,97,100,1.24,PL,1713915254
290,batu pahat,1.8548,102.9325,26.04,94,99,1.86,MY,1713915259
291,dwarka,22.2394,68.9678,25.81,75,0,5.57,IN,1713915259
292,kingston,17.997,-76.7936,28.53,79,20,2.06,JM,1713915122
293,boyolangu,-8.1181,111.8935,25.4,95,100,0.65,ID,1713915260
294,smithers,54.7804,-127.1743,10.18,46,100,2.06,CA,1713915261
295,yangp'yong,37.4897,127.4906,11.89,100,100,2.06,KR,1713915262
296,hami,42.8,93.45,17.72,22,9,2.57,CN,1713915263
